Type,Prompt,Correct Answer,Choices
mcq,"Which term means: ""The title of Arcangelo Corelli’s Concerto Grosso in G
  minor, cited as a wider listening example for Baroque music.""?","Op. 6 No. 8 “Christmas Concerto”*","ORNATE | Op. 6 No. 8 “Christmas Concerto”* | vocal delivery | verse"
mcq,"What is ""opera""?","A Baroque vocal form defined as a secular drama set to
  music, which is acted and sung with costumes, scenery, and p...","The traditional emotional association of the minor key in Western music. | A Baroque vocal form defined as a secular drama set to
  music, which is acted and sung with costumes, scenery, and p... | A focus genre in Area of Study 5, defined by electronic instruments (synthesizers, drum machines), reliance on loops ... | The specific folk melody used by Aaron Copland in Appalachian
  Spring."
mcq,"Which term means: ""A Baroque vocal form defined as a secular drama set to
  music, which is acted and sung with costumes, scenery, and props, typically
  performed in...""?","opera","North Africa | fugue | Digital Audio Workstations (DAWs) | opera"
mcq,"What is ""operatic idea""?","Richard Wagner’s concept of the leitmotif
  originated as an operatic idea before Max Steiner brought it into cinema.","A keyboard instrument characteristic of the Baroque era, often forming the chordal instrument in the Basso Continuo. ... | The setting of one syllable of text to many notes in the melody line, used for emotional extension, vocal brilliance,... | An instrumental work, often comprised of movements in
  various dance forms (e.g., Baroque instrumental suite). | Richard Wagner’s concept of the leitmotif
  originated as an operatic idea before Max Steiner brought it into cinema."
mcq,"Which term means: ""Richard Wagner’s concept of the leitmotif
  originated as an operatic idea before Max Steiner brought it into cinema.""?","operatic idea","Four-Part Homophony | smooth | riff | operatic idea"
mcq,"What is ""or 8-bar segments""?","Refers to the regular, predictable phrase structures
  common in Tango music (2, 4, or 8-bar segments).","A general term for a musical work or composition. | A woodwind instrument used in the Classical orchestra (often as a transposing instrument) and notably featured in Moz... | The ""answer"" phrase, following the antecedent (""question"") phrase in balanced Classical melodic structure. | Refers to the regular, predictable phrase structures
  common in Tango music (2, 4, or 8-bar segments)."
mcq,"Which term means: ""Refers to the regular, predictable phrase structures
  common in Tango music (2, 4, or 8-bar segments).""?","or 8-bar segments","or 8-bar segments | Hemiola | relative major | Roland TR808"
mcq,"What is ""oral/aural transmission""?","The historical method by which music is passed down
  through listening and imitation, rather than solely relying on ...","The compositional technique of altering a theme (e.g., a leitmotif)
  through changes in rhythm, harmony, or register... | The action where dissonant or unstable notes move to
  consonant, stable notes, such as a Dominant Seventh resolving ... | The defining texture in Chinese and Arab ensembles, where multiple musicians play simultaneous, slightly ornamented v... | The historical method by which music is passed down
  through listening and imitation, rather than solely relying on ..."
mcq,"Which term means: ""The historical method by which music is passed down
  through listening and imitation, rather than solely relying on written
  scores. This is char...""?","oral/aural transmission","metric shift | Vibrato | oral/aural transmission | cultural"
mcq,"What is ""oratorio""?","A sacred vocal form prominent in the Baroque and Classical
  eras. Unlike opera, it is not staged and is typically pe...","Scales based on church modes (or similar patterns), used in Romantic and modern music (Art Song, Film) for specific a... | The historical period of a film, which composers may
  convey using specific instruments (e.g., saxophones) or stylis... | Refers to primary chords (I, IV, V). | A sacred vocal form prominent in the Baroque and Classical
  eras. Unlike opera, it is not staged and is typically pe..."
mcq,"Which term means: ""A sacred vocal form prominent in the Baroque and Classical
  eras. Unlike opera, it is not staged and is typically performed in churches
  or conce...""?","oratorio","musical conventions | single line | oratorio | Sizhu"
mcq,"What is ""orchestra pit""?","The area in a theatre where the instrumentalists for a
  musical typically perform.","A main sectional element of popular song structure,
  typically alternating with the chorus. | Roman numeral representation of the Imperfect Cadence (a cadence ending on the dominant chord V), preceded by chord I... | The repeating rhythmic pattern played by the clavé
  in Salsa, which forms the son clavé. | The area in a theatre where the instrumentalists for a
  musical typically perform."
mcq,"Which term means: ""The area in a theatre where the instrumentalists for a
  musical typically perform.""?","orchestra pit","major and minor key system | cipher notation | secondary chords | orchestra pit"
mcq,"What is ""Orchestral Composition""?","Refers to writing and structuring music specifically for
  the orchestra.","Refers to writing and structuring music specifically for
  the orchestra. | A common transposing instrument in the orchestra, requiring candidates to understand transposition to concert pitch [... | Harmony that utilizes notes lying outside the defined major or minor scale, often employed dramatically in the Romant... | Plural form of ostinato, referring to repeated patterns."
mcq,"Which term means: ""Refers to writing and structuring music specifically for
  the orchestra.""?","Orchestral Composition","staccato | Orchestral Composition | four sharps or flats | Multi-tracking/Overdubbing"
mcq,"What is ""orchestral resources""?","The available instrumental forces, which expanded
  significantly during the Romantic period, increasing pitch range,...","The available instrumental forces, which expanded
  significantly during the Romantic period, increasing pitch range,... | The ""answer"" phrase, following the antecedent (""question"") phrase in balanced Classical melodic structure. | A major key center; Vivaldi’s Spring is primarily in this key. | Part of the formal title for the focus work of Classical
  music (AOS 2)."
mcq,"Which term means: ""The available instrumental forces, which expanded
  significantly during the Romantic period, increasing pitch range, dynamic
  range, and overall ...""?","orchestral resources","climax | IVb–V | orchestral resources | instability"
mcq,"What is ""orchestral strings""?","The strings section (violins, violas, cellos, double
  basses) that forms the core of the Baroque and later orchestras.","Focus Work for Area of Study 1 (Baroque Music), used to
  exemplify the solo concerto, ritornello form, terraced dyna... | The lowest brass instrument, added to the orchestra during
  the Romantic expansion (c. 1810–1900). | The central foundational rhythm of a genre, such as the clavé
  in Salsa. | The strings section (violins, violas, cellos, double
  basses) that forms the core of the Baroque and later orchestras."
mcq,"Which term means: ""The strings section (violins, violas, cellos, double
  basses) that forms the core of the Baroque and later orchestras.""?","orchestral strings","multi-tracking | orchestral strings | subdominant | rallentando"
